AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
RQC00664126  18.0742  -66.4967  112.8 PR GUAYABAL                                     TRADITIONAL  
RQC00664193  17.9783  -66.0875   21.9 PR GUAYAMA 2E                                   TRADITIONAL  
RQC00664276  18.2583  -65.9922   48.8 PR GURABO SUBSTN                                TRADITIONAL  
RQC00664340  18.4500  -66.7667   64.9 PR HATO ARRIBA ARECIBO                          TRADITIONAL  
RQC00664702  18.4653  -67.0525  128.0 PR ISABELA SUBSTN                               TRADITIONAL  
RQC00664867  18.0717  -66.1428  719.3 PR JAJOME ALTO                                  TRADITIONAL  
RQC00664910  18.2150  -66.5931  469.4 PR JAYUYA                                       TRADITIONAL  
RQC00665020  18.0514  -66.4986   79.9 PR JUANA DIAZ CAMP                              TRADITIONAL  
RQC00665064  18.2264  -65.9114   64.9 PR JUNCOS 1 SE                                  TRADITIONAL  
RQC00665097  18.0331  -67.0722   27.4 PR LAJAS SUBSTN                                 TRADITIONAL  
RQC00665123  18.3167  -66.1000   88.4 PR LA MUDA CAGUAS                               TRADITIONAL  
RQC00665693  17.9722  -67.0461    3.7 PR MAGUEYES ISLAND                              PSEUDONORMALS
RQC00665807  18.4308  -66.4661   76.2 PR MANATI 2 E                                   TRADITIONAL  
RQC00665908  18.1511  -66.9889  863.2 PR MARICAO 2 SSW                                PSEUDONORMALS
RQC00666050  18.0094  -65.8989   14.9 PR MAUNABO                                      TRADITIONAL  
RQC00666073  18.1875  -67.1378   22.6 PR MAYAGUEZ CITY                                TRADITIONAL  
RQC00666083  18.2539  -67.1486   11.6 PR MAYAGUEZ AIRPORT                             TRADITIONAL  
RQC00666258  18.0908  -67.9442    2.1 PR MONA ISLAND 2                                TRADITIONAL  
RQC00666270  18.3794  -66.5153  195.1 PR MONTE BELLO MANATI                           TRADITIONAL  
RQC00666361  18.4736  -67.0289  125.0 PR MORA CAMP                                    TRADITIONAL  
RQC00666390  18.3344  -66.4078  182.9 PR MOROVIS 1 N                                  TRADITIONAL  
RQC00666514  18.2886  -66.3433  538.3 PR NEGRO -COROZAL                               TRADITIONAL  
RQC00666805  18.2650  -65.7208  109.7 PR PARAISO                                      TRADITIONAL  
RQC00666900  18.0025  -66.0128   13.7 PR PATILLAS                                     TRADITIONAL  
RQC00666983  18.0586  -66.7183  143.3 PR PENUELAS 1 E                                 TRADITIONAL  
RQC00666992  18.2708  -65.7592 1051.0 PR PICO DEL ESTE                                TRADITIONAL  
RQC00667292  18.0258  -66.5253   21.3 PR PONCE 4 E                                    TRADITIONAL  
RQC00667295  17.9850  -66.6294    3.0 PR PONCE CITY                                   TRADITIONAL  
RQC00668126  18.3375  -67.2497    3.0 PR RINCON                                       PSEUDONORMALS
RQC00668144  18.2433  -65.7850   39.6 PR RIO BLANCO LOWER                             TRADITIONAL  
RQC00668306  18.3906  -66.0542   28.0 PR RIO PIEDRAS EXP STN                          TRADITIONAL  
RQC00668814  18.4256  -65.9917    8.5 PR WFO SAN JUAN                                 PSEUDONORMALS
RQC00668815  18.1517  -65.9589  155.4 PR SAN LORENZO 3S                               TRADITIONAL  
RQC00668940  17.9692  -66.3772    9.1 PR SANTA ISABEL 2 ENE                           TRADITIONAL  
RQC00669421  18.4333  -66.2667    7.9 PR TOA BAJA 1 SSW                               TRADITIONAL  
RQC00669432  18.1731  -66.4928  868.1 PR TORO NEGRO FOREST                            TRADITIONAL  
RQC00669521  18.3283  -66.0164   35.1 PR TRUJILLO ALTO 2 SSW                          TRADITIONAL  
RQC00669608  18.2617  -66.6864  158.5 PR UTUADO                                       TRADITIONAL  
RQC00669774  18.1094  -66.5056  120.4 PR VILLALBA 1 SE                                TRADITIONAL  
RQC00669860  18.0436  -66.8606   53.9 PR YAUCO 1 NW                                   TRADITIONAL  
RQW00011603  18.4981  -67.1294   66.4 PR BORINQUEN AP                                 TRADITIONAL  
RQW00011630  18.2550  -65.6408   10.1 PR ROOSEVELT ROADS                              TRADITIONAL  
RQW00011641  18.4325  -66.0108    2.7 PR SAN JUAN L M MARIN AP          GSN     78526 TRADITIONAL  
USC00010008  31.5703  -85.2483  139.0 AL ABBEVILLE                                    TRADITIONAL  
USC00010063  34.2553  -87.1814  249.3 AL ADDISON                                      TRADITIONAL  
USC00010140  32.2322  -87.4103   53.3 AL ALBERTA                                      TRADITIONAL  
USC00010160  32.9453  -85.9481  195.1 AL ALEXANDER CITY                               TRADITIONAL  
USC00010178  33.1272  -88.1550   59.4 AL ALICEVILLE                                   TRADITIONAL  
USC00010184  33.2100  -88.2878   50.3 AL ALICEVILLE L&D                               TRADITIONAL  
USC00010252  31.3072  -86.5225   76.2 AL ANDALUSIA 3 W                                TRADITIONAL  
USC00010260  34.9092  -87.2747  208.8 AL ANDERSON                                     PSEUDONORMALS
USC00010369  33.2942  -85.7789  311.5 AL ASHLAND 3 ENE                                TRADITIONAL  
USC00010390  34.7753  -86.9508  210.0 AL ATHENS                                       TRADITIONAL  
USC00010402  31.1819  -87.4389   91.4 AL ATMORE                                       TRADITIONAL  
USC00010425  32.5992  -85.4653  166.1 AL AUBURN NO.2                                  TRADITIONAL  
USC00010430  32.6000  -85.5000  198.7 AL AUBURN AGRONOMY FARM                         TRADITIONAL  
USC00010440  32.4706  -86.6800   61.0 AL AUTAUGAVILLE 3 N                             TRADITIONAL  
USC00010505  33.4528  -87.3572   85.3 AL BANKHEAD LOCK & DAM                          TRADITIONAL  
USC00010583  30.8839  -87.7853   82.6 AL BAY MINETTE                                  TRADITIONAL  
USC00010655  34.6908  -86.8825  182.9 AL BELLE MINA 2 N                               TRADITIONAL  
USC00010748  33.6972  -87.6492  157.9 AL BERRY 3 NW                                   PSEUDONORMALS
USC00010764  33.3953  -87.0078  135.6 AL BESSEMER 3 WSW                               TRADITIONAL  
USC00010957  34.2008  -86.1633  326.1 AL BOAZ                                         TRADITIONAL  
USC00011080  31.1414  -87.0486   48.8 AL BREWTON 3 ENE                                TRADITIONAL  
USC00011084  31.0581  -87.0547   25.9 AL BREWTON 3 SSE                      HCN       TRADITIONAL  
USC00011099  34.9786  -85.8008  204.2 AL BRIDGEPORT 5 NW                              TRADITIONAL  
USC00011178  31.7056  -85.8369  138.7 AL BRUNDIDGE                                    TRADITIONAL  
