AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00165438  30.5197  -90.7544   13.1 LA LIVINGSTON                                   TRADITIONAL  
USC00165522  31.9672  -94.0003   57.9 LA LOGANSPORT                                   TRADITIONAL  
USC00165527  31.9833  -93.9500   64.0 LA LOGANSPORT 4 ENE                             TRADITIONAL  
USC00165610  30.0306  -89.9636   -1.5 LA LOUISIANA NATURE CTR                         TRADITIONAL  
USC00165620  30.3644  -91.1672    6.4 LA LSU BEN-HUR FARM                             TRADITIONAL  
USC00165624  29.5814  -89.8222    1.2 LA LSU CITRUS RSCH STN                          TRADITIONAL  
USC00165630  31.1783  -92.4108   21.3 LA LSU DEAN LEE RSCH STN                        TRADITIONAL  
USC00165783  30.0389  -90.6936    6.1 LA LUTCHER                                      TRADITIONAL  
USC00165874  32.0389  -93.7053  119.5 LA MANSFIELD                                    TRADITIONAL  
USC00165892  31.5769  -93.4817   77.7 LA MANY                                         TRADITIONAL  
USC00165896  31.5119  -93.6200   87.2 LA MANY 9 WSW                                   TRADITIONAL  
USC00165908  32.8167  -92.1667   46.0 LA MARION 7 SE                                  TRADITIONAL  
USC00165926  29.7853  -90.1158    0.9 LA MARRERO 9 SSW                                PSEUDONORMALS
USC00165935  32.0775  -93.2167   70.1 LA MARTIN FIRE TWR                              TRADITIONAL  
USC00166244  32.6053  -93.2947   56.4 LA MINDEN                                       TRADITIONAL  
USC00166314  32.5342  -92.0669   21.3 LA MONROE ULM                                   TRADITIONAL  
USC00166364  32.7050  -93.9608   61.0 LA MOORINGSPORT 1 N                             TRADITIONAL  
USC00166394  29.6833  -91.1761    1.5 LA MORGAN CITY                                  TRADITIONAL  
USC00166431  30.2944  -93.2078    5.8 LA MOSS BLUFF                                   TRADITIONAL  
USC00166434  30.3392  -93.2150    7.6 LA MOSS BLUFF 2 NNW                             PSEUDONORMALS
USC00166466  30.9503  -90.3061   97.5 LA MOUNT HERMON 2W                              TRADITIONAL  
USC00166582  31.7722  -93.0956   39.6 LA NATCHITOCHES                                 TRADITIONAL  
USC00166584  31.8142  -93.0856   43.0 LA NATCHITOCHES #2                              PSEUDONORMALS
USC00166657  30.0375  -91.8839    7.3 LA NEW IBERIA ACADIANA AP                       TRADITIONAL  
USC00166666  29.9508  -90.0511    0.6 LA NEW ORLEANS ALGIERS                          TRADITIONAL  
USC00166686  30.7267  -91.3672   13.7 LA NEW ROADS 5 NE                               TRADITIONAL  
USC00166836  30.8214  -92.6697   33.5 LA OAKDALE                                      TRADITIONAL  
USC00166866  32.8642  -91.3800   39.3 LA OAK GROVE                                    TRADITIONAL  
USC00166868  32.6228  -91.7764   25.0 LA OAK RIDGE                                    TRADITIONAL  
USC00166911  30.7531  -90.9939   45.7 LA OAKNOLIA 2N                                  TRADITIONAL  
USC00166938  30.6036  -92.7739   19.8 LA OBERLIN FIRE TWR                             TRADITIONAL  
USC00166968  30.2869  -93.1444    3.7 LA OLD TOWN BAY                                 PSEUDONORMALS
USC00166978  31.8922  -92.2422   47.2 LA OLLA                                         TRADITIONAL  
USC00166995  30.5081  -92.0925   17.1 LA OPELOUSAS                                    TRADITIONAL  
USC00167096  29.7892  -90.4286    1.5 LA PARADIS 7 S                                  TRADITIONAL  
USC00167304  30.7111  -90.7525   57.9 LA PINE GROVE FIRE TWR                          TRADITIONAL  
USC00167312  32.7547  -91.5350   26.8 LA PIONEER 6 W                                  PSEUDONORMALS
USC00167344  32.9081  -93.7956   88.4 LA PLAIN DEALING 4 W                  HCN       TRADITIONAL  
USC00167366  30.3214  -91.2517    6.1 LA PLAQUEMINE 2 N                               TRADITIONAL  
USC00167425  30.4150  -90.3811    5.5 LA PONCHATOULA 4 SE                             TRADITIONAL  
USC00167448  30.4508  -91.2183    4.6 LA PORT ALLEN                                   TRADITIONAL  
USC00167691  32.4936  -91.7486   27.1 LA RAYVILLE                                     TRADITIONAL  
USC00167729  31.2542  -91.9592   21.3 LA RED RIVER LOCK #1                            TRADITIONAL  
USC00167732  31.1872  -92.2906   22.9 LA RED RIVER LOCK # 2                           TRADITIONAL  
USC00167738  32.4219  -93.6381   47.2 LA RED RIVER RSCH STN                           TRADITIONAL  
USC00167767  30.0564  -90.5803    4.6 LA RESERVE                                      TRADITIONAL  
USC00167924  32.3556  -93.6425   48.8 LA ROBSON                                       TRADITIONAL  
USC00167932  29.7286  -92.8181    1.2 LA ROCKEFELLER WL REFUGE                        TRADITIONAL  
USC00168046  30.9461  -93.2789   72.5 LA ROSEPINE RSCH STN                            TRADITIONAL  
USC00168067  32.5344  -92.6889   79.2 LA RUSTON LA TECH                               TRADITIONAL  
USC00168094  32.3589  -93.1428  109.7 LA SAILES FIRE TWR                              TRADITIONAL  
USC00168108  29.8722  -89.8300    1.5 LA ST BERNARD                                   TRADITIONAL  
USC00168136  30.7775  -91.3769   35.1 LA ST FRANCISVILLE                              TRADITIONAL  
USC00168139  30.2725  -91.0994    9.1 LA ST GABRIEL                                   TRADITIONAL  
USC00168163  31.9497  -91.2336   23.8 LA ST JOSEPH 3 N                      HCN       TRADITIONAL  
USC00168181  30.0858  -91.8694    9.1 LA ST MARTINVILLE 3 SW                          TRADITIONAL  
USC00168405  30.8500  -89.9833  100.6 LA SHERIDAN FIRE TWR                            TRADITIONAL  
USC00168436  32.5158  -93.7447   54.9 LA SHREVEPORT DWTN                              TRADITIONAL  
USC00168444  32.3919  -93.7803   61.0 LA SHREVEPORT STHRN HILLS                       PSEUDONORMALS
USC00168448  32.4514  -93.8417   83.5 LA SHREVEPORT WFO                               PSEUDONORMALS
USC00168539  30.2650  -89.7697    3.0 LA SLIDELL                                      TRADITIONAL  
USC00168543  30.3433  -89.8222    8.2 LA SLIDELL AP                             72233 TRADITIONAL  
USC00168669  32.9006  -92.5714   61.0 LA SPEARSVILLE FIRE TWR                         TRADITIONAL  
USC00168785  32.7025  -92.0814   25.9 LA STERLINGTON                                  TRADITIONAL  
USC00168831  30.2383  -93.3447    3.0 LA SULPHUR                                      TRADITIONAL  
USC00168861  30.6433  -89.9239   22.9 LA SUN                                          TRADITIONAL  
USC00168906  30.5225  -89.8742   18.3 LA TALISHEEK                                    PSEUDONORMALS
USC00168923  32.3994  -91.1842   25.9 LA TALLULAH                                     TRADITIONAL  
USC00168941  29.9100  -90.0342    3.0 LA TERRYTOWN 3S                                 TRADITIONAL  
USC00169013  29.7758  -90.7800    4.6 LA THIBODAUX 3 ESE                    HCN       TRADITIONAL  
USC00169074  31.2000  -93.5697   55.2 LA TOLEDO BEND LAKE                             PSEUDONORMALS
USC00169357  31.5653  -91.4333   18.3 LA VIDALIA #2                                   TRADITIONAL  
USC00169369  30.6950  -92.2664   21.3 LA VILLE PLATTE                                 TRADITIONAL  
USC00169392  32.9033  -93.9819   67.1 LA VIVIAN                                       TRADITIONAL  
USC00169480  30.5622  -90.9214   18.3 LA WATSON 3 ESE                                 TRADITIONAL  
USC00169631  32.4600  -92.1483   22.9 LA WEST MONROE                                  TRADITIONAL  
USC00169803  31.9622  -92.6561   48.8 LA WINNFIELD 3 N                                TRADITIONAL  
USC00169804  32.1411  -91.7089   22.6 LA WINNSBORO 2 SE                               PSEUDONORMALS
USC00169806  32.0997  -91.7022   24.4 LA WINNSBORO 5 SSE                    HCN       TRADITIONAL  
USC00169809  32.0294  -92.6553   67.1 LA WINONA FIRE TWR                              TRADITIONAL  
USC00169930  30.6814  -91.1250   36.6 LA ZACHARY                                      TRADITIONAL  
USC00170100  44.3739  -68.2592  143.3 ME ACADIA NP                          HCN       TRADITIONAL  
USC00170177  44.4822  -69.4836   97.5 ME ALBION                                       TRADITIONAL  
USC00170200  47.0886  -69.0250  181.7 ME ALLAGASH                                     TRADITIONAL  
USC00170217  44.6528  -70.7928  253.0 ME ANDOVER 2                                    PSEUDONORMALS
USC00170398  45.2883  -69.1467  166.1 ME BARNARD                                      TRADITIONAL  
USC00170409  43.9317  -69.8564    7.6 ME BATH                                         TRADITIONAL  
USC00170480  44.4394  -68.9892    9.1 ME BELFAST                                      TRADITIONAL  
USC00170600  45.0706  -69.9044  121.9 ME BINGHAM WYMAN DAM                            TRADITIONAL  
USC00170655  45.2669  -69.5839  182.9 ME BLANCHARD                                    TRADITIONAL  
USC00170814  45.6603  -69.8120  323.1 ME BRASSUA DAM                        HCN       TRADITIONAL  
USC00170833  46.4283  -67.8442  128.0 ME BRIDGEWATER                                  TRADITIONAL  
USC00171131  43.2356  -70.6350   39.6 ME CAPE NEDDICK                                 PSEUDONORMALS
USC00171472  46.6106  -69.5219  304.8 ME CLAYTON LAKE                                 TRADITIONAL  
USC00171628  44.9197  -69.2417   90.5 ME CORINNA                            HCN       TRADITIONAL  
USC00171833  45.6611  -67.8614  144.8 ME DANFORTH                                     TRADITIONAL  
USC00171975  45.1872  -69.1839  112.8 ME DOVER-FOXCROFT WWTP                          TRADITIONAL  
USC00172048  43.9869  -70.0550   44.2 ME DURHAM                                       TRADITIONAL  
USC00172238  43.8786  -70.7539  160.9 ME EAST HIRAM                                   TRADITIONAL  
USC00172426  44.9067  -66.9919   25.9 ME EASTPORT                           HCN 72608 TRADITIONAL  
USC00172602  43.1025  -70.7731    6.1 ME ELIOT                                        TRADITIONAL  
USC00172620  44.5333  -68.4333    6.1 ME ELLSWORTH                                    TRADITIONAL  
USC00172623  44.4933  -68.4583   32.0 ME ELLSWORTH 3SSW                               PSEUDONORMALS
USC00172700  45.2172  -70.4825  384.0 ME EUSTIS                                       TRADITIONAL  
USC00172765  44.6889  -70.1567  128.0 ME FARMINGTON                         HCN       TRADITIONAL  
USC00172878  47.2386  -68.6136  185.9 ME FT KENT                                      TRADITIONAL  
USC00173046  44.2203  -69.7889   42.7 ME GARDINER                           HCN       TRADITIONAL  
USC00173261  45.1775  -67.7742   88.4 ME GRAND LAKE STREAM                            TRADITIONAL  
USC00173295  43.8925  -70.2544  115.2 ME GRAY                                   74389 TRADITIONAL  
USC00173353  45.4667  -69.5833  313.6 ME GREENVILLE                             72619 PSEUDONORMALS
USC00173417  45.1703  -69.3817  121.9 ME GUILFORD                                     TRADITIONAL  
USC00173567  44.9442  -69.5458   97.5 ME HARMONY                                      TRADITIONAL  
USC00173570  44.3744  -70.3161  213.4 ME HARTFORD                                     TRADITIONAL  
USC00173588  45.4589  -69.8631  253.0 ME HARRIS STN                                   TRADITIONAL  
USC00173862  43.6478  -70.6750   96.0 ME HOLLIS                                       TRADITIONAL  
USC00173944  46.2061  -67.8417  118.9 ME HOULTON 5N                         HCN       TRADITIONAL  
USC00174086  45.6233  -70.2550  362.7 ME JACKMAN                                      TRADITIONAL  
USC00174183  44.6439  -67.6475   56.4 ME JONESBORO                                    TRADITIONAL  
USC00174193  43.3606  -70.4697    6.1 ME KENNEBUNKPORT                                TRADITIONAL  
USC00174324  44.9656  -70.1711  192.0 ME KINGFIELD                                    TRADITIONAL  
USC00174566  44.1000  -70.2167   54.9 ME LEWISTON                           HCN       TRADITIONAL  
USC00174683  44.3753  -68.5125   51.8 ME LINCOLN SAN DIST WTP                         PSEUDONORMALS
USC00174745  44.4717  -70.1594  115.8 ME LIVERMORE FALLS 1 E                          PSEUDONORMALS
USC00174781  45.2219  -70.1983  353.6 ME LONG FALLS DAM                               TRADITIONAL  
USC00174817  44.1569  -70.8944  149.4 ME LOVELL                                       TRADITIONAL  
USC00174878  44.7200  -67.4539    6.1 ME MACHIAS                                      TRADITIONAL  
USC00174927  44.7983  -69.8878   79.2 ME MADISON                                      TRADITIONAL  
USC00175261  44.7931  -70.9167  445.0 ME MIDDLE DAM                                   TRADITIONAL  
USC00175304  45.6503  -68.7050  109.7 ME MILLINOCKET                        HCN       TRADITIONAL  
USC00175347  45.2564  -69.0100  128.0 ME MILO                                         PSEUDONORMALS
USC00175460  45.5869  -69.7161  313.3 ME MOOSEHEAD                                    TRADITIONAL  
USC00175675  44.0461  -69.5367   57.9 ME NEWCASTLE                                    TRADITIONAL  
USC00175736  44.6353  -70.0003  146.3 ME NEW SHARON                                   TRADITIONAL  
USC00176011  43.8792  -70.6328  106.7 ME NORTH SEBAGO                                 PSEUDONORMALS
USC00176060  44.2194  -70.6036  198.1 ME NORWAY                                       PSEUDONORMALS
USC00176430  44.8992  -68.6744   35.1 ME ORONO                                        TRADITIONAL  
USC00176594  46.0267  -68.5000  231.6 ME PATTEN 2                                     PSEUDONORMALS
USC00176705  44.8167  -70.3500  182.9 ME PHILLIPS                                     TRADITIONAL  
USC00176707  44.8297  -70.3936  310.9 ME PHILLIPS 2                                   PSEUDONORMALS
USC00176721  45.8944  -69.9647  335.3 ME PITTSTON FARM                                TRADITIONAL  
USC00176856  44.0069  -70.3608  170.7 ME POLAND                                       TRADITIONAL  
USC00176875  46.7925  -68.4772  249.9 ME PORTAGE                                      PSEUDONORMALS
USC00176881  43.9186  -69.2622    9.1 ME PORT CLYDE                                   TRADITIONAL  
USC00176937  46.6539  -68.0089  182.6 ME PRESQUE ISLE                       HCN       TRADITIONAL  
USC00177037  44.9892  -70.6719  466.3 ME RANGELEY                                     TRADITIONAL  
USC00177039  44.9894  -70.6722  542.5 ME RANGELEY 2 NW                                TRADITIONAL  
USC00177174  45.8833  -69.1833  294.1 ME RIPOGENUS DAM                                TRADITIONAL  
USC00177238  45.0853  -67.1203   35.1 ME ROBBINSTON                                   TRADITIONAL  
USC00177325  44.5308  -70.5372  192.0 ME RUMFORD 1 SSE                                TRADITIONAL  
USC00177479  43.4569  -70.7803   85.3 ME SANFORD 2 NNW                                TRADITIONAL  
USC00177654  45.2536  -69.2278  115.8 ME SEBEC LAKE                                   TRADITIONAL  
USC00178353  45.4000  -68.1667  134.1 ME SPRINGFIELD                                  TRADITIONAL  
USC00178792  45.4353  -67.7214  189.0 ME TOPSFIELD 2                                  PSEUDONORMALS
USC00178817  44.2822  -70.2561  172.2 ME TURNER                                       PSEUDONORMALS
USC00178965  47.1664  -67.9397  139.0 ME VAN BUREN 2                                  TRADITIONAL  
USC00178974  45.5608  -67.4303  128.0 ME VANCEBORO NO 2                               TRADITIONAL  
USC00179151  44.5272  -69.6544   22.3 ME WATERVILLE TRTMT PLT                         TRADITIONAL  
USC00179294  44.9511  -67.6664  125.0 ME WESLEY                                       TRADITIONAL  
USC00179314  43.6878  -70.6128   67.1 ME WEST BUXTON 2 NNW                            TRADITIONAL  
USC00179538  44.3333  -70.5833  164.6 ME WEST PARIS                                   TRADITIONAL  
USC00179547  43.8881  -69.7089   27.4 ME WESTPORT ISLAND                              PSEUDONORMALS
USC00179593  44.1925  -69.1461  115.8 ME WEST ROCKPORT 1 NNW                          TRADITIONAL  
USC00179891  45.1569  -67.4044   42.7 ME WOODLAND                           HCN       TRADITIONAL  
USC00180193  38.9936  -76.5075    7.6 MD ANNAPOLIS POLICE BRKS                        TRADITIONAL  
USC00180335  38.0722  -75.2128    3.0 MD ASSATEAGUE                                   TRADITIONAL  
USC00180700  39.0303  -76.9314   44.2 MD BELTSVILLE                         HCN       TRADITIONAL  
USC00180732  39.5000  -76.3833  111.3 MD BENSON POLICE BARRACKS                       TRADITIONAL  
USC00181530  39.6453  -77.4831  490.7 MD CATOCTIN MTN PARK                            TRADITIONAL  
USC00181750  39.2167  -76.0519   12.2 MD CHESTERTOWN                        HCN       TRADITIONAL  
USC00181862  39.2553  -76.9286  112.8 MD CLARKSVILLE 3 NNE                            TRADITIONAL  
USC00181995  38.9833  -76.9500   27.4 MD COLLEGE PARK                                 TRADITIONAL  
USC00182060  39.6558  -76.1756   12.2 MD CONOWINGO DAM                                TRADITIONAL  
USC00182282  39.6419  -78.7561  222.5 MD CUMBERLAND 2                       HCN       TRADITIONAL  
USC00182325  38.9344  -77.1022   45.7 MD DALECARLIA RSVR                              TRADITIONAL  
USC00182335  39.2667  -77.2333  220.1 MD DAMASCUS 2 SW                                TRADITIONAL  
USC00182336  39.2525  -77.2192  213.4 MD DAMASCUS 3 SSW                               TRADITIONAL  
USC00182770  39.6667  -77.5500  275.8 MD EDGEMONT                                     TRADITIONAL  
USC00182906  39.6811  -77.2914  122.8 MD EMMITSBURG 2 SE                              TRADITIONAL  
USC00183348  39.4161  -77.4389  115.8 MD FREDERICK POLICE BRKS                        TRADITIONAL  
USC00183353  39.4344  -77.3919   85.3 MD FREDERICK 2 NNE                              PSEUDONORMALS
USC00183415  39.6600  -78.9358  661.4 MD FROSTBURG 2                                  TRADITIONAL  
USC00183675  38.9689  -76.8042   45.7 MD GLENN DALE BELL STN                HCN       TRADITIONAL  
USC00184030  39.6969  -78.1775  117.0 MD HANCOCK                                      TRADITIONAL  
USC00185080  38.5333  -77.0000   42.7 MD LA PLATA 1 W                                 TRADITIONAL  
USC00185111  39.0847  -76.9003  121.9 MD LAUREL 3 W                         HCN       TRADITIONAL  
USC00185832  39.5833  -79.3667  816.9 MD MC HENRY 2 NW                                TRADITIONAL  
USC00185865  38.4617  -76.6992   30.5 MD MECHANICSVILLE 5 NE                          TRADITIONAL  
USC00185894  39.6000  -79.0833  545.6 MD MERRILL                                      TRADITIONAL  
USC00185934  39.7194  -76.8028  262.1 MD MILLERS 4 NE                                 TRADITIONAL  
USC00186350  38.9133  -76.9700   15.2 MD NATL ARBORETUM DC                            TRADITIONAL  
USC00186620  39.4133  -79.4000  737.6 MD OAKLAND 1 SE                       HCN       TRADITIONAL  
USC00186770  38.6833  -76.6667   48.8 MD OWINGS FERRY LANDING               HCN       TRADITIONAL  
USC00186800  38.7853  -76.9947   36.6 MD OXON HILL                                    PSEUDONORMALS
USC00187272  39.0400  -77.2542   82.3 MD POTOMAC FLTR PLT                             TRADITIONAL  
USC00187330  38.2122  -75.6822    6.1 MD PRINCESS ANNE                      HCN       TRADITIONAL  
USC00187705  39.1008  -77.1486  134.1 MD ROCKVILLE 1 NE                               TRADITIONAL  
USC00187806  38.7144  -76.1897    3.0 MD ROYAL OAK 2 SSW                    HCN       TRADITIONAL  
USC00188000  38.3650  -75.5892    3.0 MD SALISBURY                          HCN       TRADITIONAL  
USC00188065  39.5103  -79.1400  455.7 MD SAVAGE RIVER DAM                             TRADITIONAL  
USC00188207  39.3983  -77.7211  152.4 MD SHARPSBURG 5 S                               PSEUDONORMALS
USC00188371  39.6633  -77.5828  204.2 MD SMITHSBURG 2NW                               PSEUDONORMALS
USC00188380  38.2364  -75.3789    9.1 MD SNOW HILL 4 N                                TRADITIONAL  
USC00189030  39.4500  -77.1833  131.1 MD UNIONVILLE                                   TRADITIONAL  
USC00189070  38.8519  -76.7683   39.6 MD UPPER MARLBORO 3 NNW                         TRADITIONAL  
USC00189140  38.4875  -75.8211    3.0 MD VIENNA                                       TRADITIONAL  
USC00189440  39.5736  -76.9883  228.6 MD WESTMINSTER                        HCN       TRADITIONAL  
USC00189570  39.6039  -77.8358  109.7 MD WILLIAMSPORT                                 PSEUDONORMALS
USC00189750  39.3333  -76.8667  140.2 MD WOODSTOCK                          HCN       TRADITIONAL  
USC00190120  42.3861  -72.5375   43.3 MA AMHERST                            HCN       TRADITIONAL  
USC00190190  42.6178  -71.9158  337.7 MA ASHBURNHAM                                   TRADITIONAL  
USC00190192  42.6617  -71.9358  349.3 MA ASHBURNHAM NORTH                             PSEUDONORMALS
USC00190213  42.5133  -72.8508  408.4 MA ASHFIELD                                     TRADITIONAL  
USC00190408  42.4283  -72.0275  253.0 MA BARRE FALLS DAM                              TRADITIONAL  
USC00190535  42.4833  -71.2833   48.8 MA BEDFORD                            HCN       TRADITIONAL  
USC00190551  42.2333  -70.8167   18.9 MA BEECHWOOD                                    TRADITIONAL  
USC00190562  42.2794  -72.3483  166.7 MA BELCHERTOWN                                  TRADITIONAL  
USC00190593  42.5881  -70.8372   19.8 MA BEVERLY                                      TRADITIONAL  
USC00190666  42.6325  -72.1233  263.0 MA BIRCH HILL DAM                               TRADITIONAL  
USC00190759  42.1333  -72.9333  338.3 MA BORDEN BROOK RSVR                            TRADITIONAL  
USC00190840  41.9539  -70.9572   12.2 MA BRIDGEWATER                                  PSEUDONORMALS
USC00190860  42.0478  -71.0050   24.4 MA BROCKTON                                     TRADITIONAL  
USC00190998  42.1164  -71.9075  160.0 MA BUFFUMVILLE LAKE                             TRADITIONAL  
USC00191386  41.6569  -69.9589   12.2 MA CHATHAM                                74494 TRADITIONAL  
USC00191436  42.3833  -72.8500  410.0 MA CHESTERFIELD                                 TRADITIONAL  
USC00191611  42.6667  -72.7000  190.5 MA COLRAIN                                      TRADITIONAL  
USC00192107  42.1103  -72.1269  213.4 MA EAST BRIMFIELD LAKE                          TRADITIONAL  
USC00192451  41.7653  -70.6697    9.1 MA EAST WAREHAM                                 TRADITIONAL  
USC00192501  41.3853  -70.5181    9.1 MA EDGARTOWN                                    TRADITIONAL  
USC00192997  42.0792  -71.4094   76.2 MA FRANKLIN                                     TRADITIONAL  
USC00193052  42.5833  -71.9833  338.3 MA GARDNER                                      TRADITIONAL  
USC00193213  42.2167  -73.3500  209.7 MA GREAT BARRINGTON 2N                HCN       TRADITIONAL  
USC00193229  42.5719  -72.5975   39.6 MA GREENFIELD NO 3                              PSEUDONORMALS
USC00193276  42.7467  -71.0425   10.1 MA GROVELAND                                    TRADITIONAL  
USC00193401  42.3500  -72.2000  295.7 MA HARDWICK                                     TRADITIONAL  
USC00193405  42.3333  -72.2500  226.5 MA HARDWICK 3 WSW                               TRADITIONAL  
USC00193471  41.6167  -70.5333   21.3 MA HATCHVILLE                                   TRADITIONAL  
USC00193505  42.7594  -71.0603    6.1 MA HAVERHILL                                    TRADITIONAL  
USC00193549  42.6667  -72.8167  484.6 MA HEATH                                        TRADITIONAL  
USC00193624  42.2269  -70.9125   10.7 MA HINGHAM                                      TRADITIONAL  
USC00193702  42.2000  -72.6000   29.9 MA HOLYOKE                                      TRADITIONAL  
USC00193821  41.6650  -70.3039   15.2 MA HYANNIS                                      TRADITIONAL  
USC00193876  42.6647  -70.8658   25.9 MA IPSWICH                                      TRADITIONAL  
USC00193890  42.3031  -71.1239   29.0 MA JAMAICA PLAIN                                PSEUDONORMALS
USC00193985  42.2833  -72.8667  192.0 MA KNIGHTVILLE DAM                              TRADITIONAL  
USC00194075  42.5500  -73.2333  376.7 MA LANESBORO                                    TRADITIONAL  
USC00194105  42.6992  -71.1658   15.2 MA LAWRENCE                           HCN       PSEUDONORMALS
USC00194131  42.3356  -73.2506  306.0 MA LENOX DALE                                   PSEUDONORMALS
USC00194313  42.6408  -71.3636   33.5 MA LOWELL                                       TRADITIONAL  
USC00194502  42.5008  -70.8644   25.6 MA MARBLEHEAD                                   TRADITIONAL  
USC00194580  42.4292  -71.4425   62.5 MA MAYNARD 2                                    TRADITIONAL  
USC00194711  41.8819  -70.9086   15.8 MA MIDDLEBORO                                   TRADITIONAL  
USC00194744  42.5947  -71.0208   27.4 MA MIDDLETON                                    TRADITIONAL  
USC00194760  42.1619  -71.5117   82.3 MA MILFORD                                      TRADITIONAL  
USC00195175  42.2825  -71.3439   54.9 MA NATICK                                       TRADITIONAL  
USC00195246  41.6333  -70.9333   21.3 MA NEW BEDFORD                        HCN       TRADITIONAL  
USC00195285  42.8633  -70.8997   25.9 MA NEWBURYPORT 4 NNW                            TRADITIONAL  
USC00195306  42.4500  -72.3333  257.6 MA NEW SALEM                                    TRADITIONAL  
USC00195524  42.1150  -71.6758   96.0 MA NORTHBRIDGE 2                                TRADITIONAL  
USC00195984  41.9928  -71.1667   29.0 MA NORTON WEST                                  TRADITIONAL  
USC00196245  42.5333  -70.9833   51.8 MA PEABODY                                      TRADITIONAL  
USC00196435  42.5167  -72.9167  542.5 MA PLAINFIELD 2                                 TRADITIONAL  
USC00196486  41.9819  -70.6961   13.7 MA PLYMOUTH-KINGSTON                  HCN       TRADITIONAL  
USC00196783  42.5242  -71.1264   27.4 MA READING                            HCN       TRADITIONAL  
USC00196938  41.7850  -70.9175   19.8 MA ROCHESTER                                    TRADITIONAL  
USC00197627  42.0583  -72.0722  208.8 MA SOUTHBRIDGE 3 SW                             TRADITIONAL  
USC00198278  42.4444  -72.5528   68.6 MA SUNDERLAND                                   TRADITIONAL  
USC00198367  41.9003  -71.0658    6.1 MA TAUNTON                            HCN       TRADITIONAL  
USC00198573  42.6400  -72.2244  208.8 MA TULLY LAKE                                   TRADITIONAL  
USC00198757  42.1608  -71.2461   50.3 MA WALPOLE 2                          HCN       TRADITIONAL  
USC00198793  42.2622  -72.2483  121.9 MA WARE                                         TRADITIONAL  
USC00199193  42.0931  -72.8036  131.1 MA WESTFIELD 3 SW                               PSEUDONORMALS
USC00199316  42.1333  -71.4333   64.0 MA WEST MEDWAY                        HCN       TRADITIONAL  
USC00199371  42.1819  -73.2236  394.7 MA WEST OTIS                                    TRADITIONAL  
USC00199972  42.3869  -72.9211  391.7 MA WORTHINGTON                                  TRADITIONAL  
USC00200032  41.9164  -84.0158  231.6 MI ADRIAN 2 NNE                       HCN       TRADITIONAL  
USC00200089  46.6447  -88.4811  399.3 MI ALBERTA FORD FOR CTR                         PSEUDONORMALS
USC00200094  42.2486  -84.7736  286.5 MI ALBION                                       TRADITIONAL  
USC00200106  42.6158  -82.5436  176.8 MI ALGONAC WWTP                                 PSEUDONORMALS
USC00200128  42.5800  -85.7892  228.6 MI ALLEGAN 5NE                        HCN       TRADITIONAL  
USC00200146  43.3864  -84.6492  224.0 MI ALMA                               HCN       TRADITIONAL  
USC00200228  42.2417  -83.6933  253.6 MI ANN ARBOR SE                                 PSEUDONORMALS
USC00200230  42.2947  -83.7108  274.3 MI ANN ARBOR U OF MICH                HCN       TRADITIONAL  
USC00200342  44.9933  -84.1625  272.8 MI ATLANTA 1SW                                  PSEUDONORMALS
USC00200417  43.8081  -82.9939  217.9 MI BAD AXE                                      TRADITIONAL  
USC00200446  43.9006  -85.8506  254.5 MI BALDWIN                                      TRADITIONAL  
USC00200632  43.8797  -84.4742  208.2 MI BEAVERTON 1ESE                               TRADITIONAL  
USC00200718  46.5869  -89.5475  396.2 MI BERGLAND DAM                                 TRADITIONAL  
USC00200758  44.5317  -86.1311  235.6 MI BEULAH 7SSW                                  PSEUDONORMALS
USC00200770  46.8325  -87.7503  233.2 MI BIG BAY 1NW                                  PSEUDONORMALS
USC00200779  43.7072  -85.4822  283.5 MI BIG RAPIDS WTR WKS                 HCN       TRADITIONAL  
USC00200842  41.8242  -83.8706  210.3 MI BLISSFIELD 1 SW                              PSEUDONORMALS
USC00200864  42.3842  -85.9625  221.0 MI BLOOMINGDALE                                 TRADITIONAL  
USC00200925  45.1672  -84.9139  221.9 MI BOYNE FALLS                                  TRADITIONAL  
USC00201238  43.0481  -82.9239  248.4 MI CAPAC 2N                                     PSEUDONORMALS
USC00201299  43.4839  -83.3919  210.3 MI CARO WWTP                                    TRADITIONAL  
USC00201343  43.9417  -83.2669  181.4 MI CASEVILLE                                    PSEUDONORMALS
USC00201361  43.5861  -83.1805  212.8 MI CASS CITY 1 SSW                              TRADITIONAL  
USC00201435  46.4992  -87.8450  463.3 MI CLARKSBURG                                   PSEUDONORMALS
USC00201439  46.5192  -87.9858  487.4 MI CHAMPION VAN RIPER PK              HCN       TRADITIONAL  
USC00201468  45.3172  -85.2672  180.7 MI CHARLEVOIX                                   TRADITIONAL  
USC00201476  44.5503  -84.8258  274.9 MI CHARLOTTE                                    TRADITIONAL  
USC00201486  46.3414  -86.9242  265.2 MI CHATHAM EXP FARM 2                 HCN       TRADITIONAL  
USC00201492  45.6528  -84.4725  179.2 MI CHEBOYGAN                          HCN       TRADITIONAL  
USC00201502  42.3264  -84.0133  274.3 MI CHELSEA                                      TRADITIONAL  
USC00201522  43.1936  -84.1114  189.0 MI CHESANING                                    PSEUDONORMALS
